Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Software","","0.12","0.12","1","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","8-6baef82aa0e47d0b8a0f8550ac5b32484dea5eb7ec4eadbd33dcfe6d66697e40","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"First Destination Transportation","","0.025","0.025","1","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","9-93467323cf5d0dac74aa3564f00bb3b6755b7fa8d0e574f806263ce4d40131e8","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"c.  FUEL EFFICIENCY PROGRAM","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","10-e5a7eca374dde59d445ee794041c9b9c13a724228a79f1a6ef7f98bd2847148d","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Mission Index Flying (MIF) COTS Software","","0.000","","","","","0.000","7.8","1","7.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","11-c15911d937e824bd75b6a28ec65709508fe8030c558f610cab8a5bdccd476b91","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Advanced Computer Flight Plan (ACFP) System Overlay COTS Software/Integration","","0.000","","","","","0.000","2.1","1","2.1","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","12-b7d149dd28a0a81080678565eb6dc59a731cd55d17493eb3609e02e0b45f710e","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"MAF Decision Spt Network Equipment","","0.000","","","","","0.000","0.6","1","0.6","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","13-03614ffce135ae18a8815b6c6b4001bd3cb1ea1602bbc467ff5c866864ae5769","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP FIELD","","2.726","1.363","2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","0-2cd8e2fde26068095b99184256a34540afd2aa0d30421c8da4c2c45ac259b378","0-ae0382517d58e7f4c3688cda9a126bcaad9d54962636bcd7ebd98e9785001d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ANTENNA","","1.233","1.233","1","1.648","1","1.648","0.954","2","1.908","1.03","1","1.03","","","0.000","1.03","1","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","1-091c8956934a3ed3376b32f112466129426bb9e0ab23f2a10ed48df8059c6006","0-ae0382517d58e7f4c3688cda9a126bcaad9d54962636bcd7ebd98e9785001d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AUTOMATED DATA PROCESSOR TESTBED (ADP)","","1.347","1.347","1","1.363","1","1.363","1.245","1","1.245","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","2-0c9eb054dd51846ca9bcd0ee3a628af8ae96c4fa8a5a84b4dd2d9b8264d3a1fd","0-ae0382517d58e7f4c3688cda9a126bcaad9d54962636bcd7ebd98e9785001d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIVER","","1.929","1.929","1","","","0.000","","","0.000","0.311","1","0.311","","","0.000","0.311","1","0.311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","3-308a4648c48b35ee31e765f40466103fd6549ccea039f2b088abe068f23bf86f","0-ae0382517d58e7f4c3688cda9a126bcaad9d54962636bcd7ebd98e9785001d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TEST SOURCE","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","4-b329cbc686e5b47c686ce2e86307e6f76cddb443b9138fe31b021fe2556d9594","0-ae0382517d58e7f4c3688cda9a126bcaad9d54962636bcd7ebd98e9785001d25","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP TESTBED","","1.518","1.518","1","1.482","1","1.482","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","0-3c842f6d878286c48bd79460ef295beda10108b0da47472f306450e0b2bc9a8e","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP","","0.000","","","","","0.000","","","0.000","1.408","3","4.223","","","0.000","1.408","3","4.223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","1-bf220142af79e89b9df6ec4576fbecf5face3f14d473d11b6000193d8093a6a2","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP FIELD","","1.8","0.6","3","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","2-887087c82ab65e9f6a47cd43b766266fc2f5246d75221d556663df8c4f41771f","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ANTENNA","","1.6","0.8","2","","","0.000","0.57","3","1.71","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","3-b3520b4f9571f268f6fb746e10d84cd9214bb589b1119e86367d06922e5437f9","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"RECEIVER","","1.682","0.841","2","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","4-2ee810e5435b8ae8128aa320d378822049a328eaee6539bae98c2643b37320b3","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"REMOTE EQUIPMENT SHELTER","","1.454","1.454","1","1.4","1","1.4","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","b209bfc36a5c76ed2c5259dd1bd36c76a494d941417df9ccab48491d7e708a09","5-35722a15021f99616ea2f0a2e6d6fbe8a296fdf2ba6c24bad6338275fb398525","1-fe285f585d1fccd52f657c351d90022b651e0d173cc0f18226d2ace7131a5eb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Automated Data Processor (ADP)","Reference footnote (1)","","","","0.433","2","0.866","0.482","2","0.964","0.466","1","0.466","","","","0.466","1","0.466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","94d9f80b9535b7feaa2767ed74d1d7ae11e337a388efc7641ff8469f57bcb56c","0-7fd127712027a5d5049fda295fa3989cbf0105ec6f0fe7f1d4aae276437d4bcf","0-32355c724ac56e379daeb87c9d43bfb1ddb3d30f31cb9f152cbf8c6b9607523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP Testbed","Reference footnote (1)","","","","","","0.000","","","0.000","0.934","2","1.867","","","","0.934","2","1.867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","94d9f80b9535b7feaa2767ed74d1d7ae11e337a388efc7641ff8469f57bcb56c","1-6a6dab7e9173e22d6d96757acb52031e1a745cfe2d1b28c1d9480cfae8e0c3d7","0-32355c724ac56e379daeb87c9d43bfb1ddb3d30f31cb9f152cbf8c6b9607523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP","","","","","","","","0.576","7","4.033","0.628","1","0.628","","","","0.628","1","0.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","94d9f80b9535b7feaa2767ed74d1d7ae11e337a388efc7641ff8469f57bcb56c","0-2e804a4d4c2b38d6df8ecde4037d1ca3910b118ddc7e50e36462d098fe4f7bc0","1-ad3b8bdf9f71752ac31df13ebeaa99ee2256f4ca2e3ff3f19171698ec613e484","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"REMOTE EQUIPMENT SHELTER","","","","","3.997","1","3.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","94d9f80b9535b7feaa2767ed74d1d7ae11e337a388efc7641ff8469f57bcb56c","1-44786915ccd904752b90732726cc4b558eab180e065777d486289ce65919f322","1-ad3b8bdf9f71752ac31df13ebeaa99ee2256f4ca2e3ff3f19171698ec613e484","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Automated Data Processor (ADP)","Reference footnote (1)","","","","0.433","2","0.866","0.482","2","0.964","0.466","1","0.466","","","","0.466","1","0.466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9a73b08ae299d50c8fac4f090e3f33d363e0fa4121cc8cf3ec261a80d8bbff22","0-e883b913d12bb264280dd555bb0c8b925e04b4f8a810d7dec7f79031e807ba38","0-045875c84a317e183cc0400650cad54c68adaa7c575391f3ac422c0172f04302","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP Testbed","Reference footnote (1)","","","","","","0.000","","","0.000","0.934","2","1.867","","","","0.934","2","1.867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9a73b08ae299d50c8fac4f090e3f33d363e0fa4121cc8cf3ec261a80d8bbff22","1-4c9386618b163500d74d8f7f84002eb357b35cf665dcd49525c8b8554020cc8a","0-045875c84a317e183cc0400650cad54c68adaa7c575391f3ac422c0172f04302","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP","","","","","","","","0.576","7","4.033","0.628","1","0.628","","","","0.628","1","0.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9a73b08ae299d50c8fac4f090e3f33d363e0fa4121cc8cf3ec261a80d8bbff22","0-b4adcc0cbd4f314ddd3aca895eecb4973398d6365237f83703c05d40999fcaa8","1-8f84078d2149d57a26e0164baf09ab77519d851e9200f148caf9e979d367fdc8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"REMOTE EQUIPMENT SHELTER","","","","","3.997","1","3.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","9a73b08ae299d50c8fac4f090e3f33d363e0fa4121cc8cf3ec261a80d8bbff22","1-e7adffe50276fbe3f84b91b721455fdd6acdf8a8eb4a34f58a27aacfe2acb562","1-8f84078d2149d57a26e0164baf09ab77519d851e9200f148caf9e979d367fdc8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Automated Data Processor (ADP)","Reference footnote (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","1.644","1.059","0.3","0.3","0.822","0.53","0.3","0.3","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ff49c0c6423afab346130b2406a1fc0efb5c1ae7d7576c4e8f8b582ab03e8dba","0-091fbf0f406be2529788498a5c432deef50d375c4e93f5d55fb5f0caa9a0570b","0-65cdcd5c8eace85db600ae85043f199b02222f10898abb25b18817f3ff4cfd3a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP + Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","2.166","","3.307","3.307","1.083","","1.654","1.654","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ff49c0c6423afab346130b2406a1fc0efb5c1ae7d7576c4e8f8b582ab03e8dba","0-a5a73aeb2e2288473d51bcc00d98a959322d40435ffb9a53b9340ba448362a5f","1-b9fe98c6f48514df1e5ad7a636b6c44933c89deba4d66356e640fe1288f7c1a0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP Testbed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1.5","","","","0.75","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ff49c0c6423afab346130b2406a1fc0efb5c1ae7d7576c4e8f8b582ab03e8dba","1-322cfaefc078321180968d9ab27952d230a98db6588db929240dc28f01c06fab","1-b9fe98c6f48514df1e5ad7a636b6c44933c89deba4d66356e640fe1288f7c1a0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Automated Data Processor (ADP)","Reference footnote (1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","1.644","1.059","0.3","0.3","0.822","0.53","0.3","0.3","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ed4e8e061d653808284e70129f0fbdce1ab554b13e14283e8b7116434626b7a9","0-d20daed2e9edefa0f756823c06afb6f772e96ed09ce9ae4a94397bc5dfcac205","0-b4f38fa84c1169fc30d142a502b940352788342ee7f55e4541db3373cd5d3511","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP + Spares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","2","2.166","","3.307","3.307","1.083","","1.654","1.654","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ed4e8e061d653808284e70129f0fbdce1ab554b13e14283e8b7116434626b7a9","0-0c8a24cb98532ba1706cea46920325b61597564142390e9350418bdde9990030","1-7eac04ef6fe4ebb9ca352d701283c5f2ea581726b8ecadcdf6e24c80fbe096d4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ADP Testbed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1.5","","","","0.75","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_OTHER-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2015.xml","ed4e8e061d653808284e70129f0fbdce1ab554b13e14283e8b7116434626b7a9","1-d101b6b21b8346d243cd1498d88641a3bc2902e3e0beb8f68103ef144402a188","1-7eac04ef6fe4ebb9ca352d701283c5f2ea581726b8ecadcdf6e24c80fbe096d4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
